
2024/12/03 (16:56:26) | ===> btop++ v.1.4.0
2024/12/03 (16:56:26) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/03 (16:57:14) | ===> btop++ v.1.4.0
2024/12/03 (16:57:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/03 (16:57:50) | ===> btop++ v.1.4.0
2024/12/03 (16:57:50) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/03 (17:02:22) | ===> btop++ v.1.4.0
2024/12/03 (17:02:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/04 (14:06:41) | ===> btop++ v.1.4.0
2024/12/04 (14:06:41) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/04 (14:33:35) | ===> btop++ v.1.4.0
2024/12/04 (14:33:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/04 (14:34:32) | ===> btop++ v.1.4.0
2024/12/04 (14:34:32) | WARNING: Intel GPU: Failed to initialize PMU
